"id_pesq","pesquisador_padronizado","genero","grande_area","area_macro","grande_area - area_macro_CAPES","area_sub","grande_area_freq","grande_area_score_sum","area","area_freq","area_score_sum","h_index","nivel_producao","nivel_producao_3grupos","i10_index","works_count","cited_by_count","id_inst","inst_padronizada","igc_faixa","tem_igc","igc_categoria","class_instituicao","tipo_ies","tipo_ies_corrigido","grupo_if_ceft","inst_categoria","categoria_administrativa","regiao_corrigida","uf","num_chamadas_participou","ch_2014","ch_2016","ch_2018","ch_2020","ch_2022","ch_2024","oa_author_id","ano_chamada","periodo_vigencia","periodo_vigencia_anos","anos_vigencia"
6,"Ricardo Rodrigues de Araujo","Masculino","Physics","Humanas","Ciências Exatas e da Terra","humanities",14,6.3962525,"Humanities",12,7.776565389999999,2,"Baixa","Baixa produção",1,17,73,4,"CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA",4,1,"IGC Alto","CEFET","publica_federal","IES Pública Federal",1,"PUBLICA","PUBLICA FEDERAL","Sudeste","RJ",1,0,0,0,1,0,0,"https://openalex.org/A5112290554","2020 (CNPq 13/2020)","2020-2021","2020-2021",1
7,"Ronney Arismel Mancebo Boloy","Masculino","Engineering","Sociais Aplicadas","Engenharias","waste management",32,8.92055963,"Waste management",18,7.076325430000001,11,"Alta","Alta produção",13,51,534,4,"CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA",4,1,"IGC Alto","CEFET","publica_federal","IES Pública Federal",1,"PUBLICA","PUBLICA FEDERAL","Sudeste","RJ",2,0,0,0,0,1,1,"https://openalex.org/A5035401336","2022 (CNPq 35/2022); 2024 (CNPq 07/2024)","2022-2024; 2024-2027","2022-2027",5
8,"Pedro Manuel Calas Lopes Pacheco","Masculino","Materials science","Multidisciplinar","Multidisciplinar","composite material",80,44.81667965,"Composite material",64,18.19880954100001,22,"Muito Alta","Alta produção",39,104,1543,4,"CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA",4,1,"IGC Alto","CEFET","publica_federal","IES Pública Federal",1,"PUBLICA","PUBLICA FEDERAL","Sudeste","RJ",3,1,1,1,0,0,0,"https://openalex.org/A5054179309","2014 (PIBIC-EM 2014-2016); 2016 (CNPq 07/2016); 2018 (CNPq 05/2018)","2014-2016; 2016-2018; 2018-2020","2014-2020",6
9,"André Luiz Mota","Masculino","Chemistry","Exatas","Ciências Exatas e da Terra","organic chemistry",20,8.22550152,"Organic chemistry",12,0.62301257,10,"Média","Média produção",11,28,511,5,"CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS",5,1,"IGC Alto","CEFET","publica_federal","IES Pública Federal",1,"PUBLICA","PUBLICA FEDERAL","Sudeste","MG",1,0,0,0,1,0,0,"https://openalex.org/A5064394798","2020 (CNPq 13/2020)","2020-2021","2020-2021",1
10,"Carlos Magno Martins Cosme","Masculino","Computer science","Multidisciplinar","Ciências Exatas e da Terra","algorithm",5,1.66066741,"Algorithm",4,1.49557197,3,"Baixa","Baixa produção",0,6,13,5,"CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS",5,1,"IGC Alto","CEFET","publica_federal","IES Pública Federal",1,"PUBLICA","PUBLICA FEDERAL","Sudeste","MG",1,0,0,0,0,1,0,"https://openalex.org/A5042557329","2022 (CNPq 35/2022)","2022-2024","2022-2024",2
11,"Danielle Marra de Freitas Silva","Feminino","Biology","Multidisciplinar","Ciências Biológicas","high-performance liquid chromatography",3,0.65025427,"High-performance liquid chromatography",1,0.76444733,2,"Baixa","Baixa produção",2,3,94,5,"CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS",5,1,"IGC Alto","CEFET","publica_federal","IES Pública Federal",1,"PUBLICA","PUBLICA FEDERAL","Sudeste","MG",3,0,1,1,1,0,0,"https://openalex.org/A5011945418","2016 (CNPq 07/2016); 2018 (CNPq 05/2018); 2020 (CNPq 13/2020)","2016-2018; 2018-2020; 2020-2021","2016-2021",5
12,"Denis Emanuel da Costa Vargas","Masculino","Computer science","Humanas","Ciências Exatas e da Terra","humanities",3,1.36069137,"Humanities",2,1.01705135,1,"Muito Baixa","Baixa produção",0,4,1,5,"CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS",5,1,"IGC Alto","CEFET","publica_federal","IES Pública Federal",1,"PUBLICA","PUBLICA FEDERAL","Sudeste","MG",1,0,0,0,0,0,1,"https://openalex.org/A5061828645","2024 (CNPq 07/2024)","2024-2027","2024-2027",3
13,"Fernando Wagner da Silva Ramos","Masculino","Medicine","Saúde","Ciências da Saúde","internal medicine",14,9.48492854,"Internal medicine",7,2.719944525,4,"Baixa","Baixa produção",3,14,115,6,"CENTRO UNIVERSITARIO CESMAC",3,1,"IGC Médio","IES","privada_sem_fins","IES Privada",0,"PRIVADA","PRIVADA SEM FINS LUCRATIVOS","Nordeste","AL",4,0,0,1,1,1,1,"https://openalex.org/A5101889333","2018 (CNPq 05/2018); 2020 (CNPq 13/2020); 2022 (CNPq 35/2022); 2024 (CNPq 07/2024)","2018-2020; 2020-2021; 2022-2024; 2024-2027","2018-2027",9
14,"Marcelo Antonio Pavanello","Masculino","Materials science","Multidisciplinar","Multidisciplinar","optoelectronics",359,218.97184107,"Optoelectronics",348,168.3800000200001,26,"Muito Alta","Alta produção",71,457,2802,7,"CENTRO UNIVERSITARIO DA FUNDACAO EDUCACIONAL INACIANA PE SABOIA DE MEDEIROS - FEI",4,1,"IGC Alto","IES","privada_sem_fins","IES Privada",0,"PRIVADA","PRIVADA SEM FINS LUCRATIVOS","Sudeste","SP",2,0,1,1,0,0,0,"https://openalex.org/A5087138940","2016 (CNPq 07/2016); 2018 (CNPq 05/2018)","2016-2018; 2018-2020","2016-2020",4
15,"Laura Ferreira de Rezende Franco","Feminino","Medicine","Saúde","Ciências da Saúde","internal medicine",67,45.47570577,"Internal medicine",35,7.006438273,13,"Alta","Alta produção",15,74,424,8,"CENTRO UNIVERSITARIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE",4,1,"IGC Alto","IES","publica_municipal","publica_municipal_outras",0,"PUBLICA","ESPECIAL","Sudeste","SP",1,0,0,0,0,0,1,"https://openalex.org/A5068699491","2024 (CNPq 07/2024)","2024-2027","2024-2027",3
